Trial,Bay,Block,Range,Row,Expt_17,Name,Comments,Yr 6/11/17
Yr'17,AGT block,1,132,22,CAIGE,50:ZIG14,,-
Yr'17,AGT block,1,132,23,CAIGE,51:ZIG14,,3
Yr'17,AGT block,1,132,24,Control,Morocco,,9
Yr'17,AGT block,1,133,1,Control,Livingston,,2
Yr'17,AGT block,1,133,2,CAIGE,52:ZIG14,,1
Yr'17,AGT block,1,133,3,CAIGE,53:ZIG14,,1
Yr'17,AGT block,1,133,4,CAIGE,54:ZIG14,,1
Yr'17,AGT block,1,133,5,CAIGE,55:ZIG14,,1
Yr'17,AGT block,1,133,6,CAIGE,56:ZIG14,,1
Yr'17,AGT block,1,133,7,CAIGE,58:ZIG14,,2
Yr'17,AGT block,1,133,8,Filler,Barley,,
Yr'17,AGT block,1,133,9,Control,Mace,,
