Trial,Bay,Block,Range,Row,Expt_17,Name,Sr 04/12 mel
Sr '17,A,3,53,13,Control,Yitpi,8
Sr '17,A,3,53,14,CAIGE,8:ZIG14,5
Sr '17,A,3,53,15,CAIGE,9:ZIG14,2
Sr '17,A,3,53,16,CAIGE,10:ZIG14,3
Sr '17,A,3,53,17,CAIGE,11:ZIG14,2
Sr '17,A,3,53,18,CAIGE,12:ZIG14,1
Sr '17,A,3,53,19,Control,Preston,8
Sr '17,A,3,53,20,CAIGE,13:ZIG14,4
Sr '17,A,3,53,21,CAIGE,14:ZIG14,5
Sr '17,A,3,53,22,CAIGE,15:ZIG14,3
Sr '17,A,3,53,23,CAIGE,16:ZIG14,3
Sr '17,A,3,53,24,Control,Beaufort,8
Sr '17,A,3,54,1,Control,Trojan,5
Sr '17,A,3,54,2,CAIGE,17:ZIG14,3
Sr '17,A,3,54,3,CAIGE,19:ZIG14,2
Sr '17,A,3,54,4,CAIGE,22:ZIG14,2
Sr '17,A,3,54,5,CAIGE,25:ZIG14,4
Sr '17,A,3,54,6,CAIGE,26:ZIG14,8
Sr '17,A,3,54,7,Control,Preston,8
Sr '17,A,3,54,8,CAIGE,27:ZIG14,3
Sr '17,A,3,54,9,CAIGE,28:ZIG14,4
Sr '17,A,3,54,10,CAIGE,29:ZIG14,3
Sr '17,A,3,54,11,CAIGE,30:ZIG14,2
Sr '17,A,3,54,12,CAIGE,31:ZIG14,4
Sr '17,A,3,54,13,Control,Preston,8
Sr '17,A,3,54,14,CAIGE,32:ZIG14,2
Sr '17,A,3,54,15,CAIGE,33:ZIG14,1
Sr '17,A,3,54,16,CAIGE,34:ZIG14,1
Sr '17,A,3,54,17,CAIGE,35:ZIG14,1
Sr '17,A,3,54,18,CAIGE,37:ZIG14,2
Sr '17,A,3,54,19,Control,Cosmick,4
Sr '17,A,3,54,20,CAIGE,38:ZIG14,3
Sr '17,A,3,54,21,CAIGE,39:ZIG14,2
Sr '17,A,3,54,22,CAIGE,40:ZIG14,1
Sr '17,A,3,54,23,CAIGE,41:ZIG14,1
Sr '17,A,3,54,24,Control,Trojan,4
Sr '17,A,3,55,1,Control,Yitpi,8
Sr '17,A,3,55,2,CAIGE,42:ZIG14,1
Sr '17,A,3,55,3,CAIGE,43:ZIG14,2
Sr '17,A,3,55,4,CAIGE,44:ZIG14,2
Sr '17,A,3,55,5,CAIGE,46:ZIG14,1
Sr '17,A,3,55,6,CAIGE,47:ZIG14,1
Sr '17,A,3,55,7,Control,Yitpi,8
Sr '17,A,3,55,8,CAIGE,48:ZIG14,2
Sr '17,A,3,55,9,CAIGE,49:ZIG14,2
Sr '17,A,3,55,10,CAIGE,50:ZIG14,2
Sr '17,A,3,55,11,CAIGE,51:ZIG14,2
Sr '17,A,3,55,12,CAIGE,52:ZIG14,3
Sr '17,A,3,55,13,Control,Shield,3
Sr '17,A,3,55,14,CAIGE,53:ZIG14,2
Sr '17,A,3,55,15,CAIGE,54:ZIG14,2
Sr '17,A,3,55,16,CAIGE,55:ZIG14,1
Sr '17,A,3,55,17,CAIGE,56:ZIG14,1
Sr '17,A,3,55,18,CAIGE,58:ZIG14,2
Sr '17,A,3,55,19,Control,Shield,4
Sr '17,A,3,55,20,Filler,Barley,
Sr '17,A,3,55,21,Filler,Barley,
Sr '17,A,3,55,22,Filler,Barley,
Sr '17,A,3,55,23,Filler,Barley,
Sr '17,A,3,55,24,Control,Trojan,
